State,State_abv,Pop_Count
Alaska, AK,734002
Alabama, AL,4908621
Arkansas, AR,3038999
Arizona, AZ,7378494
California, CA,39937489
Colorado, CO,5845526
Connecticut, CT,3563077
Delaware, DE,982895
Florida, FL,21992985
Georgia, GA,10736059
Hawaii, HI,1412687
Iowa, IA,3179849
Idaho, ID,1826156
Illinois, IL,12659682
Indiana, IN,6745354
Kansas, KS,2910357
Kentucky, KY,4499692
Louisiana, LA,4645184
Massachusetts, MA,6976597
Maryland, MD,6083116
Maine, ME,1345790
Michigan, MI,10045029
Minnesota, MN,5700671
Missouri, MO,6169270
Mississippi, MS,2989260
Montana, MT,1086759
North Carolina, NC,10611862
North Dakota, ND,761723
Nebraska, NE,1952570
New Hampshire, NH,1371246
New Jersey, NJ,8936574
New Mexico, NM,2096640
Nevada, NV,3139658
New York, NY,19440469
Ohio, OH,11747694
Oklahoma, OK,3954821
Oregon, OR,4301089
Pennsylvania, PA,12820878
Rhode Island, RI,1056161
South Carolina, SC,5210095
South Dakota, SD,903027
Tennessee, TN,6897576
Texas, TX,29472295
Utah, UT,3282115
Virginia, VA,8626207
Vermont, VT,628061
Washington, WA,7797095
Wisconsin, WI,5851754
West Virginia, WV,1778070
Wyoming, WY,567025
District of Columbia,DC,720687
Puerto Rico,PR,3032165
